LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C5372188,CH32V203K8T6,WCH,,LQFP-32(7x7),RISC-V 32 Bit 144MHz 32 LQFP-32(7x7) Microcontrollers RoHS,YES,50,0.5843,29.22,,,
C7432827,LM5109BMAX-JSM,JSMSEMI,,SOP-8,Half-Bridge Gate Driver IC MOSFET SOP-8,YES,3,0.3752,1.13,,,
C7294735,SD2008M00020001,huaxindianzi,,HC-49S-SMD,Crystal 8MHz ±10ppm 20pF 80Ω HC-49S-SMD,YES,60,0.0609,3.65,,,
C22466220,78L12L(35V),TDSEMIC,,SOT-89-3,"12V Positive Fixed SOT-89-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,20,0.0324,0.65,,,
C916424,BAT54C,JSMSEMI,,SOT-23,Diode Array 1 Pair Common Cathode 30V 200mA Surface Mount SOT-23,YES,100,0.007,0.70,,,
C22365427,AP2112K-3.3TRG1(MS),MSKSEMI,,SOT-23-5,Linear Voltage Regulator IC Positive Fixed 1 Output 600mA SOT-23-5,YES,5,0.0759,0.38,,,
C7187335,CXP1265-100M-HG(10uh),DMBJ,,"SMD,13.5x12.7mm","10A 10uH ±20% 18mΩ 15A Molded Inductor SMD,13.5x12.7mm Fixed Inductors RoHS",YES,3,0.4123,1.24,,,
C19626234,CSD18540Q5B(TOKMAS),Tokmas,,DFN-8(5x6),N-Channel 60V 200A 132W Surface Mount DFN-8(5x6),YES,3,0.6227,1.87,,,
C2907290,FRC0805J152 TS,FOJAN,,0805,1.5kΩ ±5% 125mW 0805 Thick Film Resistor,YES,100,0.0015,0.15,,,
C53084456,CC0805X7R50V104MN,TORCH,,0805,100nF X7R ±20% 50V 0805 Ceramic Capacitors RoHS,YES,300,0.0035,1.05,,,
C5331118,SMBJ36A,MSKSEMI,,DO-214AA(SMB),58.1VC Clamp 10.33A@10/1000us Ipp TVS DIODE DO-214AA(SMB),YES,10,0.0311,0.31,,,
C41367225,BSMD1206C-1300T,BHFUSE,,1206,3A 72V Fuse Surface Mount 1206,YES,10,0.0571,0.57,,,
C2941069,LR122WF500MT4E,UNI-ROYAL,,2512,50mΩ ±1% 2W Current Sense Resistor,YES,10,0.0652,0.65,,,
C49435298,CD1101HM101E110T,ChuangHui,,"Through Hole,D6.3xL11mm","±20% 50V 100uF Through Hole,D6.3xL11mm Aluminum Electrolytic Capacitors RoHS",YES,20,0.0165,0.33,,,
C911214,CJ221MC711B3,TWBOR,,"Through Hole,D6.3xL11mm","220uF 10V Aluminum Electrolytic Capacitors Through Hole,D6.3xL11mm 2000hrs@105℃",YES,20,0.0205,0.41,,,
C7432787,HGC1206R5476M100NSPJ,Chinocera,,1206,47uF ±20% 10V Ceramic Capacitor X5R 1206,YES,10,0.0462,0.46,,,
C376925,TCC0805X7R105K250DT,CCTC,,0805,1uF ±10% 25V Ceramic Capacitor X7R 0805,YES,50,0.0083,0.42,,,
C780691,NL0805B103K500CPBN,HUI JU,,0805,10nF ±10% 50V Ceramic Capacitor X7R 0805,YES,100,0.0037,0.37,,,
C49653580,GR0805F470KT5G00,GiantOhm,,0805,125mW 470kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0016,0.16,,,
C49653147,GR0805F1MT5G00,GiantOhm,,0805,125mW 1MΩ 150V Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0017,0.17,,,
C2889556,0805 ±5% 4Ω7,VO,,0805,125mW 4.7Ω 150V Thick Film Resistor ±5% ±400ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0021,0.21,,,
C3015220,BSS138,KUU,,SOT-23,N-Channel 50V 220mA 225mW Surface Mount SOT-23,YES,60,0.0117,0.70,,,
C49326668,0805C0G150J500NT,AIDE CAPACITOR,,0805,15pF C0G ±5% 50V 0805 Ceramic Capacitors RoHS,YES,200,0.0045,0.90,,,
C49652822,GR0805J10KT5G00,GiantOhm,,0805,10kΩ 125mW 150V Thick Film Resistor ±100ppm/℃ ±5% 0805 Chip Resistor - Surface Mount RoHS,YES,500,0.0013,0.65,,,
C3017842,SCR0805J1K,VO,,0805,125mW 1kΩ 150V Thick Film Resistor ±200ppm/℃ ±5% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0014,0.14,,,
C33546013,HGC1206R7106K500NSPJ,Chinocera,,1206,10uF ±10% 50V Ceramic Capacitor X7R 1206,YES,100,0.0398,3.98,,,
C466505,SS56,High Diode,,SMAG,Diode 60V 5A Surface Mount SMAG,YES,10,0.0614,0.61,,,
